# PlayerID,PlayerName,PlayerPosition,TeamAbbName,TeamID,GP,MIN,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,RBO,RBD,RBT,AST,TO,STL,BLK,PF,PPG,TR
# LASTUPDATED: 2013/04/19 @ 14:01:49
# NOTE: Thank-you for supporting this site.
# COPYRIGHT: Copyright 2013 SPXStats.com
"# DISCLAIMER: This file is provided 'as is' with no warranties whatsoever, and is to be used for entertainment purposes only. By opening this file, you agree to our Terms of Service found at http://www.SportsInteractive.com/terms.asp."
# VERSION: 5.0
# ROWCOUNT: 469
# TRADECOUNT: 66
# SOURCECOUNT: 30
,Carlos Delfino,,,,67,,,,40.5,,,37.5,,,85.7,,,,,,,,,10.6
,Omer Asik,,,,82,,,,54.1,,,0.0,,,56.2,,,,,,,,,10.1
,Aaron Brooks,,,,53,,,,45.3,,,37.3,,,76.9,,,,,,,,,7.1
,Greg Smith,,,,70,,,,62.0,,,0.0,,,62.3,,,,,,,,,6.0
,Donatas Motiejunas,,,,44,,,,45.5,,,28.9,,,62.7,,,,,,,,,5.7
,Patrick Beverley,,,,41,,,,41.8,,,37.5,,,82.9,,,,,,,,,5.6
,Francisco Garcia,,,,58,,,,39.3,,,37.4,,,85.7,,,,,,,,,5.5
,Terrence Jones,,,,19,,,,45.7,,,26.3,,,76.5,,,,,,,,,5.5
,Thomas Robinson,,,,70,,,,43.0,,,0.0,,,52.3,,,,,,,,,4.8
,James Anderson,,,,39,,,,41.3,,,35.0,,,85.7,,,,,,,,,3.8
,Scott Machado,,,,6,,,,50.0,,,0.0,,,100.0,,,,,,,,,1.3
,Tim Ohlbrecht,,,,3,,,,33.3,,,N/A,,,100.0,,,,,,,,,1.0
,Paul George,,,,79,,,,41.9,,,36.2,,,80.7,,,,,,,,,17.4
,David West,,,,73,,,,49.8,,,21.1,,,76.8,,,,,,,,,17.1
,George Hill,,,,76,,,,44.3,,,36.8,,,81.7,,,,,,,,,14.2
,Roy Hibbert,,,,79,,,,44.8,,,25.0,,,74.1,,,,,,,,,11.9
,Lance Stephenson,,,,78,,,,46.0,,,33.0,,,65.2,,,,,,,,,8.8
,Gerald Green,,,,60,,,,36.6,,,31.4,,,80.0,,,,,,,,,7.0
,Tyler Hansbrough,,,,81,,,,43.2,,,0.0,,,72.0,,,,,,,,,7.0
,Danny Granger,,,,5,,,,28.6,,,20.0,,,62.5,,,,,,,,,5.4
,Ian Mahinmi,,,,80,,,,45.3,,,0.0,,,60.8,,,,,,,,,5.0
,D.J. Augustin,,,,76,,,,35.0,,,35.3,,,83.8,,,,,,,,,4.7
,Orlando Johnson,,,,51,,,,40.0,,,38.3,,,71.9,,,,,,,,,4.0
,Jeff Pendergraph,,,,37,,,,48.4,,,50.0,,,91.3,,,,,,,,,3.9
,Sam Young,,,,56,,,,39.2,,,30.8,,,53.5,,,,,,,,,2.8
,Ben Hansbrough,,,,28,,,,33.3,,,26.1,,,77.8,,,,,,,,,2.0
,Dominic McGuire,,,,26,,,,42.9,,,N/A,,,30.0,,,,,,,,,2.0
,Miles Plumlee,,,,14,,,,23.8,,,N/A,,,75.0,,,,,,,,,0.9
,Blake Griffin,,,,80,,,,53.8,,,17.9,,,66.0,,,,,,,,,18.0
,Chris Paul,,,,70,,,,48.1,,,32.8,,,88.5,,,,,,,,,16.9
,Jamal Crawford,,,,76,,,,43.8,,,37.6,,,87.1,,,,,,,,,16.5
,Caron Butler,,,,78,,,,42.4,,,38.8,,,83.3,,,,,,,,,10.4
,Matt Barnes,,,,80,,,,46.2,,,34.2,,,74.4,,,,,,,,,10.3
,DeAndre Jordan,,,,82,,,,64.3,,,N/A,,,38.6,,,,,,,,,8.8
,Eric Bledsoe,,,,76,,,,44.5,,,39.7,,,79.1,,,,,,,,,8.5
,Chauncey Billups,,,,22,,,,40.2,,,36.7,,,93.8,,,,,,,,,8.4
,Willie Green,,,,72,,,,46.1,,,42.8,,,71.9,,,,,,,,,6.3
,Lamar Odom,,,,82,,,,39.9,,,20.0,,,47.6,,,,,,,,,4.0
,Ryan Hollins,,,,60,,,,61.4,,,N/A,,,75.0,,,,,,,,,3.4
,Grant Hill,,,,29,,,,38.8,,,27.3,,,58.3,,,,,,,,,3.2
,Maalik Wayns,,,,27,,,,29.5,,,22.6,,,89.5,,,,,,,,,2.8
,Ronny Turiaf,,,,65,,,,50.5,,,N/A,,,36.5,,,,,,,,,1.9
,DaJuan Summers,,,,2,,,,25.0,,,N/A,,,N/A,,,,,,,,,1.0
,Kobe Bryant,,,,78,,,,46.3,,,32.4,,,83.9,,,,,,,,,27.3
,Dwight Howard,,,,76,,,,57.8,,,16.7,,,49.2,,,,,,,,,17.1
,Pau Gasol,,,,49,,,,46.6,,,28.6,,,70.2,,,,,,,,,13.7
,Steve Nash,,,,50,,,,49.7,,,43.8,,,92.2,,,,,,,,,12.7
,Metta World Peace,,,,75,,,,40.3,,,34.2,,,73.4,,,,,,,,,12.4
,Antawn Jamison,,,,76,,,,46.4,,,36.1,,,69.1,,,,,,,,,9.4
